x y
0.0 0.025658994913101196
1.0 0.029132939875125885
2.0 0.02714884839951992
3.0 0.030705958604812622
4.0 0.027318831533193588
5.0 0.053302183747291565
6.0 0.05653854086995125
7.0 0.059127505868673325
8.0 0.05593657121062279
9.0 0.06266221217811108
10.0 0.06562668457627296
11.0 0.02600666880607605
12.0 0.04083670862019062
13.0 0.030757013708353043
14.0 0.09683366864919662
15.0 0.027778269723057747
16.0 0.02950623631477356
17.0 0.02542627789080143
18.0 0.029686875641345978
19.0 0.026750311255455017
20.0 0.029256844893097878
21.0 0.026527592912316322
22.0 0.026311244815587997
23.0 0.028585264459252357
24.0 0.02661764994263649
25.0 0.19684747233986855
26.0 0.028101198375225067
27.0 0.030911365523934364
28.0 0.23017578944563866
29.0 0.027479926124215126
30.0 0.028313199058175087
31.0 0.23074263148009777
32.0 0.02640996314585209
33.0 0.028488807380199432
34.0 0.027447953820228577
35.0 0.02790740318596363
36.0 0.2672938033938408
37.0 0.027258651331067085
38.0 0.2812512684613466
39.0 0.02889580838382244
40.0 0.2916687037795782
41.0 0.028049137443304062
42.0 0.31521416269242764
43.0 0.02695813588798046
44.0 0.3164675273001194
45.0 0.027370529249310493
46.0 0.31552441604435444
47.0 0.027941474691033363
48.0 0.02668694034218788
49.0 0.030689740553498268
50.0 0.026647385209798813
51.0 0.028325898572802544
52.0 0.028319576755166054
53.0 0.027984553948044777
54.0 0.027977433055639267
55.0 0.027614127844572067
56.0 0.026854081079363823
57.0 0.02830880507826805
58.0 0.0271719079464674
59.0 0.028160233050584793
60.0 0.024792809039354324
61.0 0.02575009874999523
62.0 0.02807523123919964
63.0 0.3912259265780449
64.0 0.027413757517933846
65.0 0.029651546850800514
66.0 0.0272979773581028
67.0 0.02563074231147766
68.0 0.031584324315190315
69.0 0.028688443824648857
70.0 0.02884642407298088
71.0 0.027076514437794685
72.0 0.027299782261252403
73.0 0.028474776074290276
74.0 0.026426827535033226
75.0 0.02641914039850235
76.0 0.02484491840004921
77.0 0.025457516312599182
78.0 0.5313078444451094
79.0 0.028504950925707817
80.0 0.02925114333629608
81.0 0.02499912679195404
82.0 0.03081408701837063
83.0 0.027522308751940727
84.0 0.031109584495425224
85.0 0.02948804758489132
86.0 0.02550024352967739
87.0 0.026725811883807182
88.0 0.027819158509373665
89.0 0.03302433528006077
90.0 0.02846469357609749
91.0 0.028350448235869408
92.0 0.026584133505821228
93.0 0.031685955822467804
94.0 0.02854815311729908
95.0 0.029924917966127396
96.0 0.02918359637260437
97.0 0.03132762387394905
98.0 0.029632804915308952
99.0 0.028948169201612473
